tourist_arrivals_dataset
tourist_arrivals,,,,,,,,,,,,,,,,,,
date,year,month,quarter,season,monsoon,is_holiday_peak,temp_mean_c,temp_min_c,temp_max_c,rainfall_mm,rainy_days,humidity_pct,typhoon_count,typhoon_max_wind_kt,storm_signal_days,pm25_ugm3,wave_height_m,arrivals
2004-01-01,2004,1,1,Dry,Amihan,1,27.03,23.03,32.02,76.2,11,79.2,0,0,0,19.0,0.81,284585
2004-02-01,2004,2,1,Dry,Amihan,0,27.58,24.01,32.41,94.0,12,78.2,0,0,0,21.6,0.6,282119
2004-03-01,2004,3,1,Dry,Transition,0,27.58,24.14,32.36,61.6,7,76.7,0,0,0,21.8,0.78,260164
2004-04-01,2004,4,2,Dry,Transition,1,28.43,24.98,32.5,144.5,16,77.7,1,64,2,22.1,1.03,259886
2004-05-01,2004,5,2,Dry,Transition,0,28.4,24.17,33.22,138.9,12,80.2,1,81,3,16.8,0.85,212057
2004-06-01,2004,6,2,Wet,Habagat,0,28.67,24.66,33.54,179.8,14,79.9,6,114,14,14.8,2.67,140997
2004-07-01,2004,7,3,Wet,Habagat,0,27.6,23.3,32.27,231.5,19,79.9,3,56,9,13.0,2.31,153240
2004-08-01,2004,8,3,Wet,Habagat,0,27.17,23.11,31.99,269.5,19,81.0,4,74,14,14.0,2.32,155685
2004-09-01,2004,9,3,Wet,Habagat,0,25.93,21.63,30.65,478.0,30,82.7,0,0,0,7.0,1.66,132380
2004-10-01,2004,10,4,Wet,Transition,0,26.14,22.91,30.13,196.4,16,76.8,3,35,6,14.1,2.0,177135
2004-11-01,2004,11,4,Wet,Transition,0,25.56,21.36,30.2,159.5,14,80.9,2,76,4,14.8,1.25,203512
2004-12-01,2004,12,4,Dry,Amihan,1,26.79,23.28,31.18,118.0,13,78.8,2,112,5,17.7,1.14,288509
2005-01-01,2005,1,1,Dry,Amihan,1,27.4,23.91,32.33,73.3,7,78.0,0,0,0,19.2,0.86,314971
2005-02-01,2005,2,1,Dry,Amihan,0,27.85,24.37,32.75,87.1,7,76.6,0,0,0,18.6,0.66,330883
2005-03-01,2005,3,1,Dry,Transition,0,27.61,23.53,32.48,74.4,8,78.8,1,78,2,15.8,0.9,258558
2005-04-01,2005,4,2,Dry,Transition,1,28.59,24.54,32.67,145.4,11,77.5,0,0,0,19.6,0.51,288737
2005-05-01,2005,5,2,Dry,Transition,0,28.8,24.53,32.9,203.1,13,78.4,0,0,0,17.2,1.1,220971
2005-06-01,2005,6,2,Wet,Habagat,0,29.06,25.66,33.36,273.5,20,81.7,1,40,4,18.0,1.56,198138
2005-07-01,2005,7,3,Wet,Habagat,0,28.37,24.58,32.22,356.7,27,82.1,2,114,3,8.9,1.77,181567
2005-08-01,2005,8,3,Wet,Habagat,0,27.74,23.36,31.66,393.7,28,83.3,3,119,4,10.5,1.99,
2005-09-01,2005,9,3,Wet,Habagat,0,26.58,22.95,30.37,227.6,19,81.7,1,126,2,14.0,1.6,174241
2005-10-01,2005,10,4,Wet,Transition,0,26.01,22.11,30.55,321.5,24,82.1,1,92,3,9.6,1.25,191814
2005-11-01,2005,11,4,Wet,Transition,0,26.58,22.77,31.17,174.2,14,77.8,4,93,8,13.6,1.64,242596
2005-12-01,2005,12,4,Dry,Amihan,1,25.97,22.18,30.74,169.1,15,83.2,2,62,6,13.6,1.11,294402
2006-01-01,2006,1,1,Dry,Amihan,1,26.34,22.83,31.15,107.3,11,82.3,0,0,0,17.4,0.68,323339
2006-02-01,2006,2,1,Dry,Amihan,0,27.34,23.88,32.18,94.5,10,78.8,1,69,2,18.6,1.23,325183
2006-03-01,2006,3,1,Dry,Transition,0,28.09,24.03,32.71,102.1,9,78.9,1,83,4,20.7,1.13,300241
2006-04-01,2006,4,2,Dry,Transition,1,28.23,24.41,32.85,93.4,10,74.2,1,77,3,18.8,1.19,325652
2006-05-01,2006,5,2,Dry,Transition,0,28.9,24.94,33.17,259.1,19,81.5,0,0,0,15.4,1.08,246483
2006-06-01,2006,6,2,Wet,Habagat,0,30.09,26.45,34.8,157.1,15,77.6,4,67,14,14.6,2.07,239832
2006-06-01,2006,6,2,Wet,Habagat,0,30.09,26.45,34.8,157.1,15,77.6,4,67,14,14.6,2.07,339867
2006-06-01,2006,6,2,Wet,Habagat,0,30.09,26.45,34.8,157.1,15,77.6,4,67,14,14.6,2.07,339888
2006-07-01,2006,7,3,Wet,Habagat,0,28.68,25.35,33.12,207.9,17,77.5,2,59,7,9.4,2.17,233195
2006-08-01,2006,8,3,Wet,Habagat,0,27.2,23.5,31.76,384.4,28,82.0,1,90,2,9.2,1.92,179175
2006-09-01,2006,9,3,Wet,Habagat,0,27.85,23.85,31.77,186.7,13,78.7,3,86,8,12.4,2.2,203817
2006-10-01,2006,10,4,Wet,Transition,0,26.59,22.27,31.07,290.0,19,79.5,3,93,10,12.2,1.9,196901
2006-11-01,2006,11,4,Wet,Transition,0,26.37,22.7,30.05,155.0,13,79.7,2,75,7,12.3,1.31,251025
2006-12-01,2006,12,4,Dry,Amihan,1,26.54,22.93,31.14,189.6,15,80.6,1,44,3,16.9,1.21,322889
2007-01-01,2007,1,1,Dry,Amihan,1,27.01,22.73,31.8,67.3,10,78.3,0,0,0,19.1,0.65,383456
2007-02-01,2007,2,1,Dry,Amihan,0,27.59,23.69,31.47,66.0,9,74.0,1,78,3,16.5,0.91,352709
2007-03-01,2007,3,1,Dry,Transition,0,28.1,24.28,31.98,66.5,7,78.6,0,0,0,19.6,0.69,319010
2007-04-01,2007,4,2,Dry,Transition,1,28.24,24.15,32.33,56.3,8,78.8,0,0,0,19.9,1.2,332691
2007-05-01,2007,5,2,Dry,Transition,0,28.49,24.16,32.33,230.3,15,83.3,0,0,0,17.0,1.38,259001
2007-06-01,2007,6,2,Wet,Habagat,0,28.29,24.73,33.09,345.1,24,80.5,3,60,8,14.8,1.74,208781
2007-07-01,2007,7,3,Wet,Habagat,0,28.89,24.85,32.98,273.0,23,79.8,2,75,6,11.9,2.02,231115
2007-08-01,2007,8,3,Wet,Habagat,0,27.44,24.18,31.49,361.8,25,84.7,5,46,8,9.9,2.37,179478
2007-09-01,2007,9,3,Wet,Habagat,0,26.89,22.85,31.22,340.5,26,82.6,1,73,4,11.2,1.74,191926
2007-10-01,2007,10,4,Wet,Transition,0,26.55,22.77,30.33,265.9,21,84.3,3,55,7,13.7,1.93,214544
2007-11-01,2007,11,4,Wet,Transition,0,25.96,22.21,30.68,148.3,11,76.1,2,85,4,12.7,1.15,285008
2007-12-01,2007,12,4,Dry,Amihan,1,26.22,22.84,30.07,129.2,13,81.6,1,109,3,13.6,1.07,399976
2008-01-01,2008,1,1,Dry,Amihan,1,26.55,22.94,31.49,80.3,11,79.4,0,0,0,18.5,0.67,447213
2008-02-01,2008,2,1,Dry,Amihan,0,27.21,23.62,31.84,58.7,8,80.6,1,103,2,20.3,0.89,376800
2008-03-01,2008,3,1,Dry,Transition,0,28.0,23.83,32.23,64.6,9,76.0,1,71,2,19.5,0.79,343480
2008-04-01,2008,4,2,Dry,Transition,1,28.82,25.03,32.7,130.9,15,79.5,0,0,0,20.8,0.88,365149
2008-05-01,2008,5,2,Dry,Transition,0,29.49,226.05,33.89,194.2,19,77.5,1,57,4,18.7,1.29,286192
2008-06-01,2008,6,2,Wet,Habagat,0,29.11,25.09,32.88,269.0,22,78.7,3,80,8,14.6,1.99,232736
2008-07-01,2008,7,3,Wet,Habagat,0,27.93,23.91,32.33,427.9,29,83.1,3,88,8,10.2,1.93,196044
2008-08-01,2008,8,3,Wet,Habagat,0,27.78,23.76,31.5,324.6,27,82.3,2,60,7,13.6,2.1,202551
2008-09-01,2008,9,3,Wet,Habagat,0,26.49,22.87,31.06,214.8,17,81.4,3,76,9,11.7,1.86,200881
2008-10-01,2008,10,4,Wet,Transition,0,26.31,22.68,30.5,209.5,21,79.5,4,47,12,14.6,1.79,217212
2008-11-01,2008,11,4,Wet,Transition,0,27.14,23.8,31.87,85.0,10,78.8,6,109,16,13.1,2.04,256938
2008-12-01,2008,12,4,Dry,Amihan,1,26.4,22.87,30.37,104.8,13,76.6,0,0,0,14.2,0.79,344194
2009-01-01,2009,1,1,Dry,Amihan,1,27.15,23.31,32.15,75.4,10,79.8,1,96,2,21.4,1.04,351467
2009-02-01,2009,2,1,Dry,Amihan,0,27.68,23.63,31.65,82.8,10,75.0,0,0,0,20.8,0.7,364390
2009-03-01,2009,3,1,Dry,Transition,0,28.27,24.34,33.02,110.4,13,83.1,0,0,0,25.4,0.8,349330
2009-04-01,2009,4,2,Dry,Transition,1,28.52,24.57,33.42,157.8,16,82.4,1,116,3,13.8,1.07,318513
2009-05-01,2009,5,2,Dry,Transition,0,28.87,25.56,32.88,130.3,12,80.0,0,0,0,22.0,1.29,315919
2009-06-01,2009,6,2,Wet,Habagat,0,29.44,25.59,33.66,223.5,16,83.0,4,54,9,15.6,1.99,253080
2009-07-01,2009,7,3,Wet,Habagat,0,28.08,24.08,132.26,243.8,21,83.8,4,74,14,11.8,2.34,234799
2009-08-01,2009,8,3,Wet,Habagat,0,27.33,22.93,31.19,402.0,28,84.2,3,105,8,10.0,2.23,194764
2009-09-01,2009,9,3,Wet,Habagat,0,27.92,24.5,31.8,186.8,15,78.1,1,107,3,16.0,2.01,239767
2009-10-01,2009,10,4,Wet,Transition,0,25.63,22.38,30.54,230.1,17,80.1,3,106,5,8.0,2.11,209807
2009-11-01,2009,11,4,Wet,Transition,0,25.53,21.59,29.8,98.0,8,78.4,1,84,3,13.6,1.48,310682
2009-12-01,2009,12,4,Dry,Amihan,1,26.46,22.11,31.4,148.2,13,75.2,1,35,3,15.8,1.14,393167
2010-01-01,2010,1,1,Dry,Amihan,1,26.51,23.16,30.22,118.4,12,82.3,0,0,0,15.5,0.49,428105
2010-02-01,2010,2,1,Dry,Amihan,0,27.81,23.7,32.39,84.8,12,77.2,0,0,0,20.6,0.45,459502
2010-03-01,2010,3,1,Dry,Transition,0,28.64,25.3,33.22,96.0,9,77.8,3,99,9,20.6,1.31,355267
2010-04-01,2010,4,2,Dry,Transition,1,27.83,23.47,31.51,97.3,11,78.1,0,0,0,19.4,0.78,400669
2010-05-01,2010,5,2,Dry,Transition,0,28.49,24.21,32.87,200.6,16,80.4,1,116,3,17.6,1.28,335487
2010-06-01,2010,6,2,Wet,Habagat,0,28.94,25.45,32.84,160.5,15,77.8,2,35,7,11.5,1.59,322271
2010-07-01,2010,7,3,Wet,Habagat,0,29.26,25.72,33.14,288.9,19,83.0,6,54,15,11.1,2.51,
2010-08-01,2010,8,3,Wet,Habagat,0,27.59,23.21,32.14,287.9,18,81.0,4,134,16,12.1,2.38,240438
2010-09-01,2010,9,3,Wet,Habagat,0,27.01,23.27,30.89,294.2,23,81.9,2,52,2,8.3,1.95,226721
2010-10-01,2010,10,4,Wet,Transition,0,26.04,22.0,30.24,299.2,26,79.7,2,95,3,13.4,1.61,266577
2010-11-01,2010,11,4,Wet,Transition,0,26.21,22.59,30.75,185.3,16,81.5,1,123,1,12.2,1.42,350358
2010-12-01,2010,12,4,Dry,Amihan,1,26.67,23.12,31.02,107.3,9,78.6,4,102,18,17.9,1.76,461638
2011-01-01,2011,1,1,Dry,Amihan,1,27.23,23.34,31.33,153.1,15,80.5,0,0,0,22.6,0.76,500778
2011-02-01,2011,2,1,Dry,Amihan,0,27.78,24.52,32.33,49.8,8,82.0,0,0,0,20.2,0.58,518915
2011-03-01,2011,3,1,Dry,Transition,0,28.18,24.93,32.21,86.1,11,80.4,1,99,2,21.5,0.89,418000
2011-04-01,2011,4,2,Dry,Transition,1,28.29,24.99,33.0,174.1,16,80.2,0,0,0,18.2,0.47,429186
2011-05-01,2011,5,2,Dry,Transition,0,29.27,25.44,34.21,166.5,15,79.0,1,97,1,19.9,1.26,386540
2011-06-01,2011,6,2,Wet,Habagat,0,28.65,24.5,32.56,245.9,21,80.8,4,97,18,13.3,2.17,270884
2011-07-01,2011,7,3,Wet,Habagat,0,28.0,23.88,32.72,126.7,11,80.9,4,75,8,15.5,2.25,281406
2011-08-01,2011,8,3,Wet,Habagat,0,27.58,24.26,31.3,374.7,27,84.3,2,60,5,8.6,2.05,259975
2011-09-01,2011,9,3,Wet,Habagat,0,27.25,23.96,31.56,246.5,18,80.9,3,75,6,10.2,2.15,273906
2011-10-01,2011,10,4,Wet,Transition,0,25.95,21.88,30.3,233.2,19,80.0,4,93,7,14.2,2.12,280414
2011-11-01,2011,11,4,Wet,Transition,0,26.21,22.85,31.12,210.0,16,81.5,3,84,4,11.3,1.27,317052
2011-12-01,2011,12,4,Dry,Amihan,1,26.76,22.43,30.74,145.2,12,77.8,4,35,12,14.2,1.65,423083
2012-01-01,2012,1,1,Dry,Amihan,1,26.77,23.43,31.58,108.3,8,78.1,1,50,1,18.0,1.0,446451
2012-02-01,2012,2,1,Dry,Amihan,0,26.7,23.48,30.49,74.7,10,78.6,1,76,1,19.4,1.08,472427
2012-03-01,2012,3,1,Dry,Transition,0,28.02,24.44,32.34,99.4,11,76.5,0,0,0,19.6,0.92,490556
2012-04-01,2012,4,2,Dry,Transition,1,29.03,24.82,33.79,178.5,15,80.9,0,0,0,19.4,1.01,535434
2012-05-01,2012,5,2,Dry,Transition,0,29.16,25.85,33.98,162.8,12,76.6,0,0,0,18.0,1.17,458092
2012-06-01,2012,6,2,Wet,Habagat,0,28.95,25.33,33.65,207.5,15,80.8,2,90,5,15.7,1.8,355480
2012-07-01,2012,7,3,Wet,Habagat,0,28.58,24.57,33.36,313.5,24,88.5,2,92,4,11.9,1.39,322448
2012-08-01,2012,8,3,Wet,Habagat,0,27.28,23.97,32.04,185.0,15,82.5,1,138,3,12.9,1.74,332150
2012-09-01,2012,9,3,Wet,Habagat,0,26.77,23.35,31.63,300.1,23,80.5,1,48,4,10.3,1.36,293792
2012-10-01,2012,10,4,Wet,Transition,0,26.53,22.17,30.32,203.2,18,81.4,2,69,5,13.2,1.81,342638
2012-11-01,2012,11,4,Wet,Transition,0,26.52,22.35,31.13,104.4,12,80.4,0,0,0,15.3,1.16,436469
2012-12-01,2012,12,4,Dry,Amihan,1,25.97,21.96,29.92,181.8,15,78.0,4,81,16,14.3,1.85,411035
2013-01-01,2013,1,1,Dry,Amihan,1,27.18,22.83,31.71,61.5,7,79.0,0,0,0,20.4,0.97,531519
2013-02-01,2013,2,1,Dry,Amihan,0,27.8,24.24,31.87,44.0,8,78.3,0,0,0,18.9,0.84,576162
2013-03-01,2013,3,1,Dry,Transition,0,28.4,25.0,32.47,94.5,8,78.3,1,86,1,19.3,1.14,502645
2013-04-01,2013,4,2,Dry,Transition,1,28.87,25.48,33.39,84.7,10,81.8,0,0,0,18.3,0.75,558861
2013-05-01,2013,5,2,Dry,Transition,0,29.35,26.02,34.16,361.6,26,82.6,0,0,0,15.3,1.23,385714
2013-06-01,2013,6,2,Wet,Habagat,0,28.06,24.81,31.68,133.4,12,78.7,2,100,4,12.8,1.71,377735
2013-07-01,2013,7,3,Wet,Habagat,0,28.53,25.17,32.27,250.6,17,81.7,4,66,12,11.3,2.24,338856
2013-08-01,2013,8,3,Wet,Habagat,0,27.09,23.32,31.83,413.9,29,84.6,1,38,2,7.4,1.41,286609
2013-09-01,2013,9,3,Wet,Habagat,0,27.38,23.8,31.8,234.7,17,80.8,2,81,3,11.7,1.82,373247
2013-10-01,2013,10,4,Wet,Transition,0,26.97,23.75,31.58,227.3,20,81.5,2,95,3,11.4,1.65,383681
2013-11-01,2013,11,4,Wet,Transition,0,25.72,21.94,30.43,246.8,18,80.8,2,60,6,16.4,1.46,441216
2013-12-01,2013,12,4,Dry,Amihan,1,26.22,21.98,30.11,107.6,14,78.2,2,71,6,18.6,0.96,636023
2014-01-01,2014,1,1,Dry,Amihan,1,26.73,23.14,31.2,56.7,7,80.3,0,0,0,21.0,0.68,718168
2014-02-01,2014,2,1,Dry,Amihan,0,27.86,23.94,32.37,57.2,8,75.5,0,0,0,18.4,0.55,677923
2014-03-01,2014,3,1,Dry,Transition,0,28.8,25.0,33.25,149.2,13,78.1,0,0,0,22.3,0.7,527729
2014-04-01,2014,4,2,Dry,Transition,1,28.61,24.68,32.77,92.7,10,77.5,0,0,0,21.0,0.7,595615
2014-05-01,2014,5,2,Dry,Transition,0,28.74,24.37,32.87,110.9,10,77.2,0,0,0,19.7,0.98,566398
2014-06-01,2014,6,2,Wet,Habagat,0,28.46,24.9,32.32,193.6,18,80.1,4,65,11,15.7,2.12,347604
2014-07-01,2014,7,3,Wet,Habagat,0,27.95,23.58,32.79,244.7,18,81.0,1,104,2,12.1,1.7,381035
2014-08-01,2014,8,3,Wet,Habagat,0,27.65,24.45,31.37,328.9,24,81.4,5,47,16,9.4,2.36,290518
2014-09-01,2014,9,3,Wet,Habagat,0,27.18,22.91,31.43,315.2,23,82.3,4,74,8,13.3,2.31,295666
2014-10-01,2014,10,4,Wet,Transition,0,25.99,22.15,30.08,239.6,18,82.4,3,67,8,10.7,1.77,388412
2014-11-01,2014,11,4,Wet,Transition,0,26.16,22.69,30.07,196.6,14,81.6,7,35,20,13.2,2.57,377194
2014-12-01,2014,12,4,Dry,Amihan,1,26.73,23.25,31.32,196.2,16,80.9,2,59,6,12.8,1.08,563602
2015-01-01,2015,1,1,Dry,Amihan,1,27.05,22.8,30.75,110.1,12,78.7,0,0,0,20.8,0.57,684663
2015-02-01,2015,2,1,Dry,Amihan,0,27.9,23.66,31.8,66.8,11,81.9,0,0,0,23.9,0.7,724051
2015-03-01,2015,3,1,Dry,Transition,0,28.34,24.44,32.93,81.6,9,80.5,1,81,2,22.2,0.89,610604
2015-04-01,2015,4,2,Dry,Transition,1,28.64,24.72,33.26,80.6,10,78.0,0,0,0,18.5,0.8,640893
2015-05-01,2015,5,2,Dry,Transition,0,28.43,25.11,32.67,230.4,18,79.6,0,0,0,17.5,1.04,545177
2015-06-01,2015,6,2,Wet,Habagat,0,29.15,24.82,33.57,168.2,13,79.5,4,47,7,12.1,2.04,411129
2015-07-01,2015,7,3,Wet,Habagat,0,28.81,24.78,33.54,257.7,22,81.2,2,46,5,12.2,1.86,422083
2015-08-01,2015,8,3,Wet,Habagat,0,27.51,23.15,31.73,225.0,17,80.8,3,59,11,14.4,2.08,372295
2015-09-01,2015,9,3,Wet,Habagat,0,26.45,22.41,30.51,301.7,24,82.0,1,87,3,10.1,1.36,381093
2015-10-01,2015,10,4,Wet,Transition,0,26.57,22.63,30.84,242.6,23,81.0,2,99,2,8.1,1.98,457971
2015-11-01,2015,11,4,Wet,Transition,0,26.4,22.93,30.26,146.6,13,79.8,1,95,2,14.3,1.22,562493
2015-12-01,2015,12,4,Dry,Amihan,1,26.81,22.42,31.13,107.7,12,79.4,3,84,11,17.7,1.57,621257
2016-01-01,2016,1,1,Dry,Amihan,1,26.7,22.78,31.04,101.7,11,78.7,0,0,0,19.9,0.79,701860
2016-02-01,2016,2,1,Dry,Amihan,0,28.12,24.86,31.75,60.2,7,81.2,0,0,0,21.6,0.4,716137
2016-03-01,2016,3,1,Dry,Transition,0,28.54,24.58,32.58,132.9,14,82.7,0,0,0,21.1,0.95,596778
2016-04-01,2016,4,2,Dry,Transition,1,29.79,26.5,33.62,111.8,11,79.3,0,0,0,17.2,0.93,668059
2016-05-01,2016,5,2,Dry,Transition,0,28.8,25.43,33.36,94.8,12,78.8,1,60,3,20.6,1.29,621128
2016-06-01,2016,6,2,Wet,Habagat,0,28.88,24.57,32.51,266.4,22,80.3,4,73,9,16.7,1.74,389876
2016-07-01,2016,7,3,Wet,Habagat,0,28.81,24.8,32.55,290.1,22,80.4,3,60,7,13.6,1.55,422092
2016-08-01,2016,8,3,Wet,Habagat,0,27.3,23.66,30.93,304.5,21,81.0,5,35,14,7.2,2.5,311007
2016-09-01,2016,9,3,Wet,Habagat,0,27.41,23.68,32.01,370.1,30,81.2,2,67,5,10.3,2.02,332219
2016-10-01,2016,10,4,Wet,Transition,0,27.17,22.89,30.87,258.7,19,81.4,3,95,7,15.2,1.79,467258
2016-11-01,2016,11,4,Wet,Transition,0,26.63,22.53,30.79,148.0,14,78.0,3,81,5,14.0,1.75,543908
2016-12-01,2016,12,4,Dry,Amihan,1,26.56,22.5,31.27,107.5,11,80.9,3,71,9,15.1,1.55,730379
2017-01-01,2017,1,1,Dry,Amihan,1,27.6,23.71,31.91,68.9,7,78.4,1,67,3,20.5,0.79,775152
2017-02-01,2017,2,1,Dry,Amihan,0,27.06,22.98,32.0,69.4,9,78.8,1,64,3,23.8,0.85,719829
2017-03-01,2017,3,1,Dry,Transition,0,27.51,23.87,31.84,76.9,9,78.4,0,0,0,21.9,0.74,709438
2017-04-01,2017,4,2,Dry,Transition,1,28.42,24.91,32.53,116.5,12,77.4,1,102,2,19.5,0.94,677089
2017-05-01,2017,5,2,Dry,Transition,0,28.82,24.94,32.99,255.4,21,79.7,0,0,0,15.1,1.15,525985
2017-06-01,2017,6,2,Wet,Habagat,0,28.81,25.19,33.26,151.1,12,78.9,4,59,9,16.2,1.61,515596
2017-07-01,2017,7,3,Wet,Habagat,0,28.15,,33.01,237.9,19,79.7,2,103,3,11.4,2.19,516184
2017-08-01,2017,8,3,Wet,Habagat,0,28.45,25.08,32.67,219.4,18,82.2,4,35,10,8.5,2.24,476945
2017-09-01,2017,9,3,Wet,Habagat,0,27.45,23.12,32.28,386.2,28,80.6,3,83,7,10.6,1.79,365302
